[2023.05.13 17:57:13.934] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 17:57:13.946] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 17:57:13.947] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 17:57:13.949] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 17:57:36.183] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 17:57:36.195] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 17:57:36.197] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 17:57:36.198] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 17:57:56.858] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 17:57:56.870] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 17:57:56.872] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 17:57:56.873] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 18:00:16.807] [HTTP] /Dashboard2.page (Method: GET, IP: ::1)
[2023.05.13 18:00:16.820] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 18:00:16.824] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 18:00:16.825] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 18:00:57.794] [HTTP] / (Method: GET, IP: ::1)
[2023.05.13 18:00:57.808] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 18:00:57.810] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 18:00:57.811] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 18:01:20.106] [HTTP] / (Method: GET, IP: ::1)
[2023.05.13 18:01:20.115] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 18:01:20.116] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 18:01:20.118] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 18:01:26.609] [HTTP] / (Method: GET, IP: ::1)
[2023.05.13 18:01:26.624] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 18:01:26.626] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 18:01:26.628] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 18:02:22.281] [HTTP] / (Method: GET, IP: ::1)
[2023.05.13 18:02:22.297] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 18:02:22.298] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 18:02:22.299] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 18:07:08.273] [HTTP] /Dashboard2.page (Method: GET, IP: ::1)
[2023.05.13 18:07:08.283] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 18:07:08.284] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 18:07:08.284] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
