[2023.05.16 15:44:03.771] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 15:44:03.773] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 15:44:03.774] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 15:44:05.484] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.16 15:44:05.509] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 15:44:05.511] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 15:44:05.512] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 15:44:05.513] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 15:44:05.618] [HTTP] /favicon.ico (Method: GET, IP: ::1)
[2023.05.16 15:44:05.620] [Error:404] /favicon.ico/n Error: ENOENT: no such file or directory, stat 'C:\takensoft\dev\nodejs\workspace\dgcatholic\favicon.ico'/n
[2023.05.16 15:44:45.343] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.16 15:44:45.353] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 15:44:45.355] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 15:44:45.356] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 15:44:45.357] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 15:44:45.484] [HTTP] /favicon.ico (Method: GET, IP: ::1)
[2023.05.16 15:44:45.486] [Error:404] /favicon.ico/n Error: ENOENT: no such file or directory, stat 'C:\takensoft\dev\nodejs\workspace\dgcatholic\favicon.ico'/n
[2023.05.16 15:45:05.692] [HTTP] /Datalist.page (Method: GET, IP: ::1)
[2023.05.16 15:45:05.716] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 15:45:05.717] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 15:45:05.719] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 15:45:05.720] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 15:45:24.986] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.16 15:45:25.002] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 15:45:25.003] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 15:45:25.005] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 15:45:25.006] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 15:45:36.626] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.16 15:45:36.642] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 15:45:36.644] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 15:45:36.645] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 15:45:36.646] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 15:46:30.698] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.16 15:46:30.719] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 15:46:30.721] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 15:46:30.723] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 15:46:30.724] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 15:46:53.920] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.16 15:46:53.930] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 15:46:53.932] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 15:46:53.933] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 15:46:53.934] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 15:46:54.060] [HTTP] /favicon.ico (Method: GET, IP: ::1)
[2023.05.16 15:46:54.061] [Error:404] /favicon.ico/n Error: ENOENT: no such file or directory, stat 'C:\takensoft\dev\nodejs\workspace\dgcatholic\favicon.ico'/n
[2023.05.16 15:47:08.076] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.16 15:47:08.086] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 15:47:08.089] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 15:47:08.090] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 15:47:08.092] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 15:47:21.374] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.16 15:47:21.388] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 15:47:21.390] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 15:47:21.394] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 15:47:21.396] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 15:48:00.838] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.16 15:48:00.849] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 15:48:00.852] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 15:48:00.853] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 15:48:00.854] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 15:48:01.010] [HTTP] /favicon.ico (Method: GET, IP: ::1)
[2023.05.16 15:48:01.011] [Error:404] /favicon.ico/n Error: ENOENT: no such file or directory, stat 'C:\takensoft\dev\nodejs\workspace\dgcatholic\favicon.ico'/n
[2023.05.16 15:48:22.888] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.16 15:48:22.898] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 15:48:22.900] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 15:48:22.901] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 15:48:22.901] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 15:49:38.359] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.16 15:49:38.371] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 15:49:38.375] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 15:49:38.376] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 15:49:38.377] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 15:51:05.133] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.16 15:51:05.144] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 15:51:05.145] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 15:51:05.147] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 15:51:05.148] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 15:51:45.111] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.16 15:51:45.120] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 15:51:45.121] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 15:51:45.122] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 15:51:45.124] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
