[2023.05.22 11:42:38.076] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.22 11:42:47.441] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.22 11:42:47.455] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.22 11:42:47.456] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.22 11:42:47.457] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.22 11:42:47.458] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.22 11:43:11.555] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.22 11:43:11.568] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.22 11:43:11.571] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.22 11:43:11.572] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.22 11:43:11.573] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.22 11:43:12.097] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.22 11:43:12.108] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.22 11:43:12.109] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.22 11:43:12.111] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.22 11:43:12.113] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.22 11:43:12.353] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.22 11:43:12.380] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.22 11:43:12.382] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.22 11:43:12.383] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.22 11:43:12.385] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.22 11:43:12.785] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.22 11:43:12.802] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.22 11:43:12.803] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
