[2023.05.18 15:39:43.459] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 15:46:12.675] [HTTP] /Dashboard.page (Method: GET, IP: ::1)
[2023.05.18 15:46:12.686] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 15:46:12.688] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 15:46:12.690] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 15:46:12.690] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 15:46:31.269] [HTTP] /Dashboard.page (Method: GET, IP: ::1)
[2023.05.18 15:46:31.284] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 15:46:31.287] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 15:46:31.289] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 15:46:31.290] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 15:46:42.833] [HTTP] /Dashboard.page (Method: GET, IP: ::1)
[2023.05.18 15:46:42.844] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 15:46:42.845] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 15:46:42.847] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 15:46:42.849] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 15:47:08.451] [HTTP] /Dashboard.page (Method: GET, IP: ::1)
[2023.05.18 15:47:08.464] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 15:47:08.466] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 15:47:08.469] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 15:47:08.470] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 15:48:47.899] [HTTP] /Dashboard.page (Method: GET, IP: ::1)
[2023.05.18 15:48:47.914] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 15:48:47.915] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 15:48:47.917] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 15:48:47.918] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 15:50:32.452] [HTTP] /Dashboard.page (Method: GET, IP: ::1)
[2023.05.18 15:50:32.462] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 15:50:32.463] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 15:50:32.464] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
